,index,timePeriod,sentiment
10533,4244,1830-01-01,0.316
10534,351,1830-01-01,0.0
10539,4673,1830-01-01,0.167
10546,31,1830-01-01,0.0
10582,565,1830-01-01,0.073
10652,7311,1830-01-01,0.503
10654,3127,1830-01-01,0.262
10660,4738,1830-01-01,0.278
10680,4920,1830-01-01,0.195
10683,5405,1830-01-01,0.281
10698,84,1830-01-01,0.199
10762,8064,1830-01-01,0.403
10768,297,1830-01-01,0.579
10798,2968,1830-01-01,0.0
10866,210,1830-01-01,0.208
10867,5477,1830-01-01,0.306
10917,7638,1830-01-01,0.122
10939,9267,1830-01-01,0.0
10946,8615,1830-01-01,0.254
10956,9683,1830-01-01,0.222
10972,2128,1830-01-01,0.214
11012,9369,1830-01-01,0.393
11035,4442,1830-01-01,0.0
11037,9862,1830-01-01,0.451
11040,5304,1830-01-01,0.0
